epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,172.879,0.23311,0.9782,1,0.08144,0.0670089,0.000333243,0.000333243
2,344.937,0.12721,0.98013,0.99997,0.06951,0.0339957,0.000653378,0.000653378
3,506.228,0.10462,0.9902,1,0.03106,0.000969315,0.000960314,0.000960314
4,668.742,0.09917,0.99313,0.99997,0.02398,0.0009406,0.0009406,0.0009406
5,829.96,0.09122,0.99249,1,0.02758,0.0009208,0.0009208,0.0009208
6,990.357,0.0864,0.99444,1,0.01945,0.000901,0.000901,0.000901
7,1152.19,0.07991,0.99461,1,0.01964,0.0008812,0.0008812,0.0008812
8,1312.43,0.07737,0.99364,1,0.02228,0.0008614,0.0008614,0.0008614
9,1472.81,0.07238,0.99408,1,0.02073,0.0008416,0.0008416,0.0008416
10,1633.73,0.07341,0.99423,1,0.01917,0.0008218,0.0008218,0.0008218
11,1794.44,0.06836,0.99451,1,0.01824,0.000802,0.000802,0.000802
12,1954.99,0.06518,0.99385,1,0.01995,0.0007822,0.0007822,0.0007822
13,2115.88,0.06509,0.99379,1,0.02025,0.0007624,0.0007624,0.0007624
14,2276.18,0.05954,0.99392,1,0.0211,0.0007426,0.0007426,0.0007426
15,2437.01,0.06172,0.99397,1,0.02148,0.0007228,0.0007228,0.0007228
16,2597.61,0.05726,0.99395,1,0.02199,0.000703,0.000703,0.000703
17,2758.47,0.05672,0.99436,1,0.02148,0.0006832,0.0006832,0.0006832
